IMG OID,Genome ID,Phylum,Class,Order,Lineage,Clade,Tribe,QC/Curation Status,JGI Project ID,GOLD Study ID,GOLD Biosample ID,GOLD Project ID,GOLD Analysis Project ID
2236347068,AAA487-M09,Proteobacteria,Alphaproteobacteria,Rickettsiales,alfV,alfV-A,LD12,None,404281,Gs0015033,Gb0015801 ,Gp0012856,Ga0025832
2236347069,AAA028-D10,Proteobacteria,Alphaproteobacteria,Rickettsiales,alfV,alfV-A,LD12,None,403743,Gs0015033,Gb0012963 ,Gp0012861,Ga0025833
2236661000,AAA023-L09,Proteobacteria,Alphaproteobacteria,Rickettsiales,alfV,alfV-A,LD12,None,403740,Gs0015033,Gb0012934 ,Gp0012862,Ga0025834
2236661001,AAA023-J06,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-A,acI-A7,None,403714,Gs0015033,Gb0012819 ,Gp0012939,Ga0025835
2236661002,AAA027-J17,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-B,acI-B1,None,403716,Gs0015033,Gb0012861 ,Gp0012937,Ga0025836
2236661003,AAA027-M14,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-A,acI-A1,None,403717,Gs0015033,Gb0012862 ,Gp0012934,Ga0025837
2236661004,AAA028-A23,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-B,acI-B1,None,403718,Gs0015033,Gb0012893 ,Gp0012893,Ga0025838
2236661005,AAA044-N04,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-A,acI-A7,None,403736,Gs0015033,Gb0012930 ,Gp0012933,Ga0025839
2236661006,AAA278-I18,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-B,acI-B1,None,403737,Gs0015033,Gb0012932 ,Gp0012935,Ga0025840
2236661007,AAA278-O22,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-A,acI-A1,None,403738,Gs0015033,Gb0012933 ,Gp0012932,Ga0025841
2236661008,AAA028-C07,Proteobacteria,Alphaproteobacteria,Rickettsiales,alfV,alfV-A,LD12,None,403742,Gs0015033,Gb0012956 ,Gp0012930,Ga0025842
2236661009,AAA023-D18,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-B,acI-B1,None,403715,Gs0015033,Gb0012818 ,Gp0012938,Ga0025843
